,,,,,,,
ID,Name,Times Submitted,Reason for fail,Takeaway,Follow Up,Time Complexity,Space Complexity
0,1039. Minimum Score Triangulation of Polygon,Cant do at all,cant derive dp relation and bottom up,"Matrix chain multiplication / Interval DP, same template for bottom up / top down",,n^3,n^2
1,2221. Find Triangular Sum of an Array,1,,"Pascal triangle property each number contribution is comb(n - 1, i) * nums[i]",,n^2 / n (Pascal),n
2,1518. Water Bottles,1,,simulate of use equation / math solution - number_bottles + (number_bottles - 1) // (num_exchange - 1),,log(bottle) / 1,1
2,3100. Water Bottles II,1,,simulate drink water equation / math solution - ,,log(bottle) / 1,1
0,407. Trapping Rain Water II,Cant do at all,"not two pointer, but djisktra / bfs + heap",get lowest wall from all directions --> MIN HEAP from all wall edges,,r * c * (log (r * c)),r * c
2,11. Container With Most Water,1,,Only higher line contribute to area (greedy idea),,n,1
2,417. Pacific Atlantic Water Flow,1,,"No minimum property like in leetcode 407, so dfs/bfs ok, walk from edge because else it will be walk from every cell, which is worst case mn * mn

If you propagate backwards, you turn the problem into a clean multi source flood-fill.

This trick is common: when the condition is defined by touching the boundary, you usually flip the perspective and search from the boundary inwards.",,m * n ,m * n 
2,1135. Connecting Cities With Minimum Cost,1,,"keyword: minimum cost to connect cities --> kruskal (sort + union find)  / prim (use min heap, take min for each edge), union find union function is ackerman constant for time complexity",,e (edges) log e,e + v
1,778. Swim in Rising Water,,can do with djisktra / BFS with priority queue,,,m * n log (m * n),1
0,1488. Avoid Flood in The City,,,,,,
0,2300. Successful Pairs of Spells and Potions,,,,,,
0,774. Minimize Max Distance to Gas Station,,,,,,
0,3494. Find the Minimum Amount of Time to Brew Potions,,,,,,
0,3147. Taking Maximum Energy From the Mystic Dungeon,,,,,,
0,3186. Maximum Total Damage With Spell Casting,,,,,,
0,3539. Find Sum of Array Product of Magical Sequences,X,,,,,
0,2273. Find Resultant Array After Removing Anagrams,,,,,,
0,3346. Maximum Frequency of an Element After Performing Operations I,X,freq count + prefix sum to get count of numbers in range,PREFIX SUM,,n max (max num in nums),n max
0,3347. Maximum Frequency of an Element After Performing Operations II,X,sort + binary search to get all numbers in a range,"MUST SORT, intuition is best group must lie together, sliding window with distance constraint as shrinking condition (COND --> after sorting, nums[i] and nums[j] can come together if nums[j] - nums[i] < 2* k)

BINARY SEARCH (IDEA FROM LARRY):
for every number it can be [x, x + k, x - k], and for each number, we try to take all take are in range of [num - k, num + k] by using bisect_left(nums, num-k), bisect_right(nums, num+k), and taking right - left indexes and take min(operations, right - left)",,n log n,number of distinct nums
0,1838. Frequency of the Most Frequent Element,X,cant see sliding window,"MUST SORT, intuition is best group must lie together, sliding window with cost constraint as shrinking condition (VALID COND --> largest_num_in_window * window < window_sum - k)",,n log n,1
0,2048. Next Greater Numerically Balanced Number,,"cant translate intuition to answer, core lies in generate all multi set for length N, e.g.
{1, 4}, and only need to pick smallest and compare, if no valid then go to length N + 1

LARRY, brute force can work, just try all 1 million numbers and take the ones that satisfy condition",,,,
2,1716. Calculate Money in Leetcode Bank,,simulate,,,log7 n? (keep divide 7),1
2,2125. Number of Laser Beams in a Bank,,simulate,,,n,1
0,1570. Dot Product of Two Sparse Vectors,X,">>>> SPARSE VECTOR
using array directly waste a lot of space
think hashmap / two pointer for values, and skip zeroes
follow up: if one is sparse, use index in sparse + binary search the non sparse array","hashmap -> skip zero, save values, loop through values, if the other has value then multiply

array pairs (idx, val) + two pointer -> if index same, then multiply, else skip","one vector sparse, the other vector not sparse",n + m,length of n with value + length of m with value
0,311. Sparse Matrix Multiplication,,,"use array pairs idea from 1570, the final matrix will be row vectors from matrix1, col vectors from matrix2",expand 1570 idea to 2d,,
1,3354. Make Array Elements Equal to Zero,,"missed the case when abs(r_sum - l_sum) == 1, didnt think brute force intution clear enough","either use prefix sum and get l_sum + r_sum, or we can calculate total_sum, and when running through, left += curr_num, right = total_sum - curr_num",,n,n
2,3370. Smallest Number With All Set Bits,,"add one more digit to current binary length, then minus 1",,,1 / n,1
1,1526. Minimum Number of Increments on Subarrays to Form a Target Array,,,,,n,1
0,656. Coin Path,,"totally forgot basics dp, on how dp transition with different states

this is 1d dp added with additional stuff brought on","if there are dp again, rethink what are the core of dp:

when do we use DP?

base cases
how to define states
state transition function",,,
0,2464. Minimum Subarrays in a Valid Split,,"doesnt know how to check subarray, substring dp

which is actually the same as Longest Increasing Subsequence

for i in range(n):
    for j in range(i):

or

for i in range(n):
    for j in range(i, n):

also similar to Work Break, Work Break II (follow up with paths building)","we can reuse the result from previous

think if array[0:3] work, we save it,
in future if array[4:6] work, we take 4 - 1 which is 3,
and then add to current result, so we know at 6 it will be 2

this is the exact core intution for subarray / substring with dp

and for interval dp / palindrome like,
its similar,

we will have already compute some dp[left+1: right - 1] previously
and we can expand from there",,,
2,3217. Delete Nodes From Linked List Present in Array,,,"use two pointer, one to track prev, and one to track current, skip with prev.next = curr.next when we see curr.value is invalid num",,n,1
0,1183. Maximum Number of Ones,,,,,,
1,2257. Count Unguarded Cells in the Grid,3,"didn think of edge case where guards overlap, or when we use the seen set, but then when the other guard walking here, we stop due to the seen set, its not how this works","use BFS multi source guard, but no use QUEUE, just simulate repeated walk with while loop, and only stop with invalid index, walls and guards, basically try simulating walk till dead end:

        dirs = [(1,0), (-1,0), (0,1), (0,-1)]
        for gr, gc in guard:
            for dr, dc in dirs:
                r, c = gr + dr, gc + dc
                while 0 <= r < m and 0 <= c < n and (r, c) not in blocked:
                    seen.add((r, c))
                    r += dr
                    c += dc",,m * n,m * n
2,1578. Minimum Time to Make Rope Colorful,1,,"basically simulation, do what the question ask, which is go through string, if repeat then only leave the largest time, and remove all the other times",,n,1
2,3318. Find X-Sum of All K-Long Subarrays I,,,"do what the question ask you to do, which is sliding window and take window higher frequency two element by sorting",,,
0,3321. Find X-Sum of All K-Long Subarrays II,,,previous will not work,,,
1,3607. Power Grid Maintenance,2,"after joining the nodes, dont know how to give a special unique id for nodes

later i use the root for the component after all the union find join","think thoroughly before brute forcing through your idea, like slow down and think carefully",,n log n,n
0,2528. Maximize the Minimum Powered City,X,binary search min/max + sliding window + deque,,,n log n,1
0,1611. Minimum One Bit Operations to Make Integers Zero,X,,,,,
2,2169. Count Operations to Obtain Zero,,"basically GCD equation:
take large num divide by small num, then we need to do that many times of operation, then we are left with num1 % num2, then swap to take larger 1 as num1 and repeat

        while num1 != 0 and num2 != 0:
            ops += num1 // num2
            num1 = num1 % num2
            num1, num2 = num2, num1","we do simulation because cant greedy after testing cases

also remember this as GCD equation",,,
0,3542. Minimum Operations to Convert All Elements to Zero,X,"2 ideas:
monotonic stack (by LARRY, instinct of seeing numbers go up and down, and probably look back -> STACK):
if we have larger, means we need operations, if we have smaller, than pop the previous, if we have the same, do nothing because its what we wanted

linked list (by LARRY)
i am thinking we need to find the same numbers index, but we dont know how to do this effiicent
larry thought of linked list",,,n,1
1,474. Ones and Zeroes,2,"you forgot knapsack dp basic template (take / no take)

        @cache
        def dfs(i, m_count, n_count):
            if i == len(strs):
                return 0
            
            # take
            take = 0
            if m_count + count[(i, ""0"")] <= m and n_count + count[(i, ""1"")] <= n:
                take = 1 + dfs(i + 1, m_count + count[(i, ""0"")], n_count + count[(i, ""1"")])

            # no take
            no_take = dfs(i + 1, m_count, n_count)
            return max(take, no_take)

        return dfs(0, 0, 0)",,,length * m_count * n_count,n
2,170. Two Sum III - Data structure design,,"design problem:
2 different kind of data structure: dict + array

","no greedy way to improve so we must loop n length

thats why i think of array to save number and loop every one, and then num_freq dict to check if have the number like in two sum, but we only need to do once which is during add",,n,n
0,2654. Minimum Number of Operations to Make All Array Elements Equal to 1,X,"you dont understand gcd property.

3 case:
1. have 1, then operations = n - number_of_ones
2. gcd of all numbers > 1, none gcd can go down to zero
3. get smallest subarray with gcd = 1 with brute force double for loop g = gcd(g, nums[j])","gcd will not increase if we keep doing gcd, because at most it will be the num itself or lower

therefore we can continuosly do gcd on array of numbers to get some property",,n^2 log n,1
0,3228. Maximum Number of Operations to Move Ones to the End,X,dont get the greedy idea of counting the moves with number of ones accumulated so far,,,n,1
